merchant_id,year,quarter,time_index,credit_score,default,credit_limit,flow_score,traffic_score,supply_score,q1,q2,q3,q4,gdp_growth,cpi,lpr,m2_growth,region,t1,t2,t3,t4,industry,i1,i2,i3,i4,i5
1,2017,1,0,73.8,0,127459.47,1.2201,0.5784,0.7972,1,0,0,0,5.62,2.07,3.6277,10.93,2,0,1,0,0,4,0,0,0,1,0
1,2017,2,1,82.06,0,135410.61,1.2077,1.9094,1.1394,0,1,0,0,5.07,2.41,3.6561,10.25,1,1,0,0,0,4,0,0,0,1,0
1,2017,3,2,65.79,1,118060.07,0.2711,0.2304,0.8925,0,0,1,0,5.18,1.67,3.7362,10.7,2,0,1,0,0,2,0,1,0,0,0
1,2017,4,3,77.63,0,133744.8,1.011,1.1328,1.0304,0,0,0,1,5.42,2.41,3.674,9.68,2,0,1,0,0,2,0,1,0,0,0
1,2018,1,4,64.42,0,119333.64,0.1664,0.6633,0.2556,1,0,0,0,4.48,1.69,3.674,10.12,1,1,0,0,0,2,0,1,0,0,0
1,2018,2,5,70.78,0,122413.88,0.2238,0.6633,0.8252,0,1,0,0,4.15,2.15,3.7012,11.24,2,0,1,0,0,5,0,0,0,0,1
1,2018,3,6,60.97,0,109652.45,0.0499,-0.2675,0.5554,0,0,1,0,4.37,1.71,3.6506,11.75,3,0,0,1,0,1,1,0,0,0,0
1,2018,4,7,67.46,1,123908.64,0.4824,0.5285,0.6446,0,0,0,1,4.59,2.28,3.5629,9.88,4,0,0,0,1,2,0,1,0,0,0
1,2019,1,8,68.48,0,118748.76,0.4656,0.2839,0.8183,1,0,0,0,5.2,1.96,3.6094,11.15,3,0,0,1,0,4,0,0,0,1,0
1,2019,2,9,87.07,0,135126.42,1.4739,1.3573,1.5044,0,1,0,0,5.11,2.14,3.5605,11.06,3,0,0,1,0,1,1,0,0,0,0
1,2019,3,10,62.73,0,105599.16,0.367,-0.3133,0.6722,0,0,1,0,5.35,2.15,3.6304,12.65,2,0,1,0,0,3,0,0,1,0,0
1,2019,4,11,71.82,0,122142.66,0.6378,0.9927,0.9267,0,0,0,1,4.83,1.86,3.67,10.72,2,0,1,0,0,4,0,0,0,1,0
1,2020,1,12,68.46,0,116885.37,0.3943,0.3355,0.8056,1,0,0,0,4.9,2.35,3.6102,12.19,1,1,0,0,0,1,1,0,0,0,0
1,2020,2,13,93.21,0,139944.48,2.4126,1.831,0.8644,0,1,0,0,5.2,2.37,3.5686,11.07,2,0,1,0,0,1,1,0,0,0,0
1,2020,3,14,74.37,0,126165.55,1.181,0.5709,0.7977,0,0,1,0,4.55,2.23,3.7487,11.04,4,0,0,0,1,2,0,1,0,0,0
1,2020,4,15,67.44,0,122724.84,0.4654,0.647,0.3889,0,0,0,1,4.47,2.25,3.6401,11.13,1,1,0,0,0,2,0,1,0,0,0
1,2021,1,16,62.96,0,111484.39,0.2361,0.1778,0.3077,1,0,0,0,4.27,2.14,3.6594,10.96,1,1,0,0,0,4,0,0,0,1,0
1,2021,2,17,78.82,0,135341.58,1.0315,0.7158,0.9675,0,1,0,0,3.97,1.9,3.5799,9.92,3,0,0,1,0,1,1,0,0,0,0
1,2021,3,18,72.51,0,122100.64,1.2036,0.3257,0.5565,0,0,1,0,4.57,2.62,3.6006,9.67,1,1,0,0,0,5,0,0,0,0,1
1,2021,4,19,73.07,0,121139.68,0.8171,0.58,0.7367,0,0,0,1,5.01,2.06,3.7128,10.25,4,0,0,0,1,1,1,0,0,0,0
1,2022,1,20,80.76,0,137638.77,0.8881,1.296,1.5802,1,0,0,0,4.68,1.99,3.6178,9.9,1,1,0,0,0,2,0,1,0,0,0
1,2022,2,21,76.77,0,133726.15,1.1995,0.1879,1.5347,0,1,0,0,4.65,1.97,3.6981,10.33,1,1,0,0,0,1,1,0,0,0,0
1,2022,3,22,72.61,0,117666.89,0.9562,0.5291,0.8422,0,0,1,0,4.88,2.27,3.7186,10.79,3,0,0,1,0,1,1,0,0,0,0
1,2022,4,23,83.03,0,135266.04,1.5525,1.0512,0.8457,0,0,0,1,4.84,1.76,3.6129,11.0,4,0,0,0,1,1,1,0,0,0,0
1,2023,1,24,78.58,0,130280.91,1.6279,0.812,1.2469,1,0,0,0,4.23,1.79,3.637,9.78,4,0,0,0,1,2,0,1,0,0,0
1,2023,2,25,59.4,1,107845.18,-0.188,0.382,-0.0619,0,1,0,0,4.07,2.42,3.6516,10.72,3,0,0,1,0,2,0,1,0,0,0
1,2023,3,26,79.09,0,128861.65,1.4036,1.0587,0.9335,0,0,1,0,2.75,2.14,3.6717,11.61,3,0,0,1,0,2,0,1,0,0,0
1,2023,4,27,83.49,0,138673.92,1.5357,0.7709,1.0839,0,0,0,1,4.16,1.49,3.7541,11.01,3,0,0,1,0,4,0,0,0,1,0
1,2024,1,28,75.48,0,122897.69,0.5897,0.872,1.879,1,0,0,0,4.73,1.09,3.6884,9.49,1,1,0,0,0,3,0,0,1,0,0
1,2024,2,29,65.19,0,108396.86,0.3768,-0.1233,0.898,0,1,0,0,4.84,2.2,3.7487,10.88,2,0,1,0,0,1,1,0,0,0,0
1,2024,3,30,84.76,0,135752.68,1.9418,1.1835,0.97,0,0,1,0,4.46,2.06,3.7307,11.17,1,1,0,0,0,1,1,0,0,0,0
1,2024,4,31,73.42,0,121208.65,0.8817,0.773,0.8068,0,0,0,1,4.63,1.98,3.7033,12.24,2,0,1,0,0,2,0,1,0,0,0
2,2017,1,0,90.64,0,133958.65,2.2178,1.4489,1.2559,1,0,0,0,5.16,1.78,3.688,9.74,3,0,0,1,0,4,0,0,0,1,0
2,2017,2,1,67.47,0,120244.6,0.3225,0.8575,0.5678,0,1,0,0,5.01,2.23,3.6653,10.96,2,0,1,0,0,1,1,0,0,0,0
2,2017,3,2,67.23,0,118992.46,0.3366,0.2139,0.7821,0,0,1,0,6.46,1.19,3.693,11.83,2,0,1,0,0,1,1,0,0,0,0
2,2017,4,3,73.84,0,130322.64,1.0862,1.0241,0.5366,0,0,0,1,3.68,2.07,3.6466,9.32,3,0,0,1,0,2,0,1,0,0,0
